ds,temperature_yest,wind_speed_yest,humidity_yest,predicted_demand_MW_yest,temperature_today,wind_speed_today,humidity_today,predicted_demand_MW_today,demand_diff,temp_diff
2026-05-13 00:00:00,17.0,0.7,85.0,71605.0,17.0,0.5,85.0,71677.39,72.39,0.0
2026-05-13 01:00:00,16.0,0.8,85.0,68976.72,16.0,0.7,85.0,69012.91,36.19,0.0
2026-05-13 02:00:00,16.0,0.7,85.0,66577.3,16.0,0.7,85.0,66577.3,0.0,0.0
2026-05-13 03:00:00,16.0,0.4,90.0,65022.76,16.0,0.3,90.0,65058.95,36.19,0.0
2026-05-13 04:00:00,15.0,0.4,90.0,64093.68,15.0,0.4,90.0,64093.68,0.0,0.0
2026-05-13 05:00:00,15.0,0.6,90.0,64000.23,15.0,0.6,90.0,64000.23,0.0,0.0
2026-05-13 06:00:00,15.0,0.8,95.0,65620.6,15.0,0.8,95.0,65620.6,0.0,0.0
2026-05-13 07:00:00,15.0,0.9,95.0,68449.93,15.0,0.8,95.0,68486.13,36.2,0.0
2026-05-13 08:00:00,17.0,1.0,90.0,71251.94,17.0,0.9,90.0,71288.13,36.19,0.0
2026-05-13 09:00:00,18.0,1.0,85.0,73715.56,18.0,0.9,85.0,73751.76,36.2,0.0
2026-05-13 10:00:00,20.0,1.2,75.0,74060.72,20.0,1.2,75.0,74060.72,0.0,0.0
2026-05-13 11:00:00,22.0,1.0,65.0,72854.8,22.0,1.0,65.0,72854.8,0.0,0.0
2026-05-13 12:00:00,23.0,0.1,55.0,71330.74,23.0,0.1,55.0,71330.74,0.0,0.0
2026-05-13 13:00:00,25.0,1.0,45.0,69473.78,25.0,0.9,45.0,69509.97,36.19,0.0
2026-05-13 14:00:00,25.0,2.2,45.0,69819.15,25.0,2.1,45.0,69855.35,36.2,0.0
2026-05-13 15:00:00,25.0,3.2,45.0,71567.72,25.0,3.1,45.0,71603.92,36.2,0.0
2026-05-13 16:00:00,25.0,3.5,45.0,74060.11,25.0,3.4,45.0,74096.31,36.2,0.0
2026-05-13 17:00:00,24.0,3.2,50.0,76748.83,24.0,3.1,50.0,76785.03,36.2,0.0
2026-05-13 18:00:00,23.0,2.2,50.0,78448.67,23.0,2.1,50.0,78484.86,36.19,0.0
2026-05-13 19:00:00,22.0,1.6,60.0,79447.26,22.0,1.6,60.0,79447.26,0.0,0.0
2026-05-13 20:00:00,20.0,1.0,65.0,79612.01,20.0,0.9,65.0,79648.2,36.19,0.0
2026-05-13 21:00:00,19.0,0.7,70.0,78777.51,19.0,0.7,70.0,78777.51,0.0,0.0
2026-05-13 22:00:00,18.0,0.7,75.0,77198.7,18.0,0.7,75.0,77198.7,0.0,0.0
2026-05-13 23:00:00,18.0,0.4,80.0,74976.77,18.0,0.3,80.0,75012.97,36.2,0.0
